semaine;"num poule";competition;poule;J;le;horaire;"club rec";"club vis";"club hote";"arb1 designe";"arb2 designe";observateur;delegue;"code renc";"nom salle";"adresse salle";CP;Ville;colle;"Coul. Rec";"Coul. Gard. Rec";"Coul. Vis";"Coul. Gard. Vis";"Ent. Rec";"Tel Ent. Rec";"Corresp. Rec";"Tel Corresp. Rec";"Ent. Vis";"Tel Ent. Vis";"Corresp. Vis";"Tel Corresp. Vis";"Num rec";"Num vis"
2026-11;M624401012;2dtm-44;"2DTM - POULE HAUTE B";6;14/03/2026;21:00:00;"ST SEBASTIEN SUD LOIRE HANDBALL 2";"LE LANDREAU HANDBALL 1";"ST SEBASTIEN SUD LOIRE HANDBALL";;;;;VAGMBDG;"GYMNASE DU CENTRE VILLE - SALLE LUC ABALO";"6 rue annie hure";44230;"ST SEBASTIEN SUR LOIRE";"Colle lavable à l'eau uniquement";Bleu;Vert;Jaune-Noir;Rouge;;;;;;;;;6244097;6244082
2026-11;M624402022;3dtm-44;"3DTM - POULE BASSE A";6;14/03/2026;19:00:00;"LE LANDREAU HANDBALL 2";"HANDBALL CLUB LEO LAGRANGE SUCE SUR ERDRE";"LE LANDREAU HANDBALL";;;;;VAGMBHX;"SALLE DES NOUELLES";"19  rue de la loire";44430;"LE LANDREAU";"Colle lavable à l'eau uniquement";Jaune-Noir;Rouge;Blanc-Rouge;Orange-Noir;;;;;;;;;6244082;6244012
2026-11;F62000401G;"d2fpl ; division 2 feminine territoriale";"D2FPL-B ; POULE B";14;15/03/2026;16:30:00;"MONTAIGU VHB U21";"LE LANDREAU U21";"MONTAIGU VENDEE HANDBALL";"CREPIN JULIEN";;;;VAGENBE;"SALLE OMNISPORTS";" rue du stade- st georges de montaigu";85600;"ST GEORGES DE MONTAIGU";"Toutes colles autorisées";Bleu-Orange;blanc;Jaune-Noir;Rouge;;;;;;;;;6285078;6244082
2026-11;F624475022;u10f-44;"U10F D2";6;14/03/2026;15:00:00;"LE LANDREAU HANDBALL";"CHABOSSIERE OLYMPIQUE CLUB HB";"LE LANDREAU HANDBALL";;;;;VAGMFDS;"SALLE DES NOUELLES";"19  rue de la loire";44430;"LE LANDREAU";"Colle lavable à l'eau uniquement";Jaune-Noir;Rouge;Rouge-Noir;blanc;;;;;;;;;6244082;6244011
2026-11;Z624475052;u10m-44;"U10M D5";6;14/03/2026;13:30:00;"LE LANDREAU HANDBALL";"LAETITIA NANTES HB";"LE LANDREAU HANDBALL";;;;;VAGMFKS;"SALLE DES NOUELLES";"19  rue de la loire";44430;"LE LANDREAU";"Colle lavable à l'eau uniquement";Jaune-Noir;Rouge;Bleu;Rouge;;;;;;;;;6244082;6244015
2026-11;Z624470072;u11m-44;"U11M D7";6;14/03/2026;15:30:00;"LEGÉ HANDBALL CLUB";"LE LANDREAU HANDBALL";"LEGE HANDBALL CLUB";;;;;VAGMEZD;"PIERRE DE COUBERTIN";"1  rue pierre de coubertin";44650;LEGE;"Toutes colles interdites";Rouge-Blanc;Bleu-Noir;Jaune-Noir;Rouge;;;;;;;;;6244005;6244082
2026-11;M624465092;u12m-44;"U12M D10";6;14/03/2026;15:00:00;"HBC HERBLINOIS 2";"LE LANDREAU HANDBALL";"HBC HERBLINOIS";;;;;VAGMEHW;"LA BOURGONNIERE";" allee de la bourgonniere";44800;"ST HERBLAIN";"Toutes colles interdites";Noir;Rose;Jaune;Noir;;;;;;;;;6244044;6244082
2026-11;F624460072;u13f-44;"U13F D8";6;15/03/2026;15:30:00;"SAVENAY HB";"LE LANDREAU HANDBALL";"SAVENAY HB";;;;;VAGMDVP;"gymnase alice milliat";" lieu dit la justice / colleraye 2";44260;SAVENAY;"Toutes colles interdites";Jaune-Noir;Bleu;Jaune-Noir;Rouge;;;;;;;;;6244050;6244082
2026-11;M624455062;u14m-44;"U14M D7";6;14/03/2026;18:30:00;"CHABOSSIERE OLYMPIQUE CLUB HB 2";"LE LANDREAU HANDBALL 1";"CHABOSSIERE OLYMPIQUE CLUB HB";;;;;VAGMDEG;"PIERRE MOISAN";" rue de la corbardiere";44220;COUERON;"Colle lavable à l'eau uniquement";Rouge-Noir;blanc;Jaune-Noir;Vert;;;;;;;;;6244011;6244082
2026-11;M624455122;u14m-44;"U14M D13";6;14/03/2026;17:00:00;"LE LANDREAU HANDBALL 2";"HANDBALL CLUB MESANGER";"LE LANDREAU HANDBALL";;;;;VAGMDLE;"SALLE DES NOUELLES";"19  rue de la loire";44430;"LE LANDREAU";"Colle lavable à l'eau uniquement";Jaune-Noir;Rouge;Noir;Vert;;;;;;;;;6244082;6244100
